92 147
1 3 59
1 57 53
2 7 16
2 72 72
3 45 94
4 11 9
4 15 91
5 55 10
5 65 30
5 72 39
6 62 19
7 11 98
7 37 91
7 74 39
7 85 91
8 55 97
8 73 98
9 20 34
9 27 47
9 36 30
9 44 64
10 21 7
10 23 67
10 24 59
10 30 86
10 36 3
10 54 16
10 77 64
10 78 50
11 26 81
11 46 88
11 69 8
12 24 89
12 33 78
12 35 9
12 53 96
12 88 13
13 29 12
13 31 94
13 38 31
13 90 23
14 27 68
14 36 12
14 64 18
14 66 34
14 81 69
14 83 7
15 39 94
16 41 68
17 78 99
18 65 91
18 83 20
19 85 1
20 27 48
21 34 41
21 56 27
21 63 21
21 80 46
22 26 93
22 34 71
22 40 90
22 62 96
23 41 8
23 56 96
23 80 30
23 88 66
24 67 66
25 27 58
25 41 89
25 76 80
26 36 53
26 39 6
26 43 80
26 56 95
27 33 40
27 39 38
27 45 90
27 60 19
28 60 28
29 65 7
29 71 91
30 54 69
30 61 29
31 55 27
31 68 58
31 86 11
32 68 57
33 49 99
34 43 1
34 87 100
35 52 35
35 61 6
35 72 18
36 45 9
36 62 32
37 42 98
37 63 99
37 66 45
37 80 70
37 83 11
39 70 42
39 89 27
40 47 9
40 75 58
42 66 72
42 86 25
42 92 93
43 55 25
43 71 32
44 48 80
44 72 5
44 80 4
45 70 13
45 74 15
46 53 80
47 89 99
49 76 75
49 87 80
49 91 18
50 60 59
50 64 5
51 55 39
51 69 75
51 73 48
52 92 2
56 68 49
56 82 80
57 67 31
57 73 17
58 68 44
59 62 18
60 92 13
61 70 93
62 85 7
62 91 90
65 68 58
65 84 68
67 74 78
68 87 66
72 79 58
72 91 92
73 74 21
73 81 13
75 84 85
80 83 26
81 90 37
87 92 79
68 95
8 9 14 15 16 17 18 19 20 21 22 23 26 27 28 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 64 65 66 67 69 72 73 74 75 76 78 79 80 83 85 87 88 89 90 91 92 
35 19
30 89
67 17
62 24
78 1
86 92
16 88
90 2
13 22
15 38
17 16
59 72
75 55
3 74
28 68
11 80
10 65
73 3
21 69
78 61
64 28
57 52
6 29
61 5
50 3
26 91
77 17
11 51
92 57
42 86
2 24
62 10
51 8
41 13
8 85
62 56
85 16
62 6
89 89
79 8
85 80
88 72
55 23
46 84
64 78
62 49
56 15
69 3
29 74
60 12
7 15
32 85
54 3
28 7
84 81
68 10
88 70
38 30
92 34
19 7
55 85
17 70
26 32
26 28
44 5
91 79
27 78
86 51
61 24
37 3
71 67
36 56
57 47
20 77
82 59
1 83
62 89
21 62
25 1
14 65
21 59
62 7
66 10
9 71
57 38
43 69
75 16
10 77
44 13
82 68
3 20
7 4
76 76
39 49
16 53
