966 1269
1 87 3049
2 138 23543
2 255 3535
3 603 25210
4 10 15612
4 65 25347
4 155 29500
4 583 16843
4 881 15070
4 934 3239
5 249 7360
5 701 32238
6 353 6446
6 386 29428
6 680 27004
6 690 15169
6 749 6540
7 474 11272
7 716 8683
8 594 16759
9 585 22221
10 768 1875
11 567 4309
12 24 13466
12 85 23137
12 152 14953
12 389 23769
13 834 31598
14 391 14218
14 824 12259
14 923 21253
15 837 1373
16 464 19842
16 795 235
17 658 32397
17 705 13158
17 855 9990
18 86 6387
18 699 22592
19 96 11600
19 472 19042
19 833 10677
20 34 25595
20 62 16357
20 130 10518
20 142 5192
20 259 23476
20 407 4939
20 545 27360
20 548 6707
21 130 9162
21 336 26593
21 631 492
22 480 8527
23 480 21473
23 693 6476
24 396 19309
24 624 26142
24 759 21197
24 889 32219
24 963 5674
25 389 28784
25 533 26217
25 752 18704
26 103 17467
26 548 32205
27 70 10508
28 105 11107
28 449 13938
29 75 20683
29 644 16217
29 803 32331
30 410 20895
30 758 32052
31 139 3166
31 854 26925
32 643 7362
32 715 30899
32 796 3542
33 254 9296
33 363 23722
33 373 16851
33 526 25069
33 676 7364
33 747 7560
33 877 4975
34 171 20472
34 482 7206
34 704 23570
35 254 14188
35 647 6715
35 878 25882
36 155 26451
36 427 26365
36 740 5204
37 452 4758
37 652 15300
38 785 4816
39 150 14607
39 630 25064
40 751 8454
40 845 10634
41 132 23326
41 459 31067
41 917 6738
42 58 19349
42 607 30370
43 260 10567
43 306 1069
44 728 31481
45 263 28213
46 326 32749
46 431 14020
46 702 23735
46 727 9026
47 162 5649
48 117 12972
48 420 31182
48 947 2807
49 402 20655
49 424 22725
49 541 8130
50 533 21240
50 952 26480
51 399 14044
52 74 10608
52 243 4909
52 495 18033
52 603 9417
52 814 15484
53 297 9391
53 699 9356
53 865 33
53 959 27617
54 740 30006
54 772 18447
55 799 19246
56 324 9560
56 417 25755
57 558 27405
59 506 28856
60 240 14024
61 317 8903
62 180 12709
63 334 25724
63 506 24098
63 900 13552
64 914 3690
65 125 7265
65 407 19217
66 170 16174
66 254 24442
66 785 9466
66 879 25571
67 69 2854
68 135 22046
68 334 21154
68 351 14088
68 374 15046
69 312 3826
69 383 5477
69 412 25896
69 425 18727
69 514 27751
69 545 19486
69 549 3677
69 573 24433
69 648 1825
69 685 30595
69 881 30958
70 266 17721
70 412 20290
70 462 4962
70 525 13108
71 601 2800
71 721 20003
71 883 11682
72 623 24441
72 903 7356
72 914 20956
73 116 2173
73 834 8924
75 709 8418
75 901 8273
75 905 26080
76 626 21985
77 86 18883
77 262 9228
77 342 32205
78 173 12455
78 399 11273
78 601 6528
79 326 20479
79 638 29641
79 717 14976
80 453 12346
81 144 790
81 487 19391
81 536 28389
81 563 10904
81 642 5027
82 398 14949
82 722 3560
83 470 6095
83 602 19327
84 633 6906
84 798 20877
85 263 14857
85 781 25733
85 894 5148
86 208 24472
86 421 10676
86 740 5475
86 944 11317
87 554 31436
87 714 763
88 337 16381
88 429 17781
88 534 21481
89 825 24771
90 207 32220
91 219 2138
91 829 10540
92 235 23471
92 489 13280
92 539 5070
92 614 25277
92 852 23404
93 148 4887
93 558 22316
93 562 11876
93 580 19088
94 487 26815
95 471 13784
95 480 5078
95 726 15270
95 742 23827
95 936 7202
96 314 23484
97 144 25083
97 353 21049
97 607 4649
97 766 16870
98 132 15835
98 382 4283
98 542 13761
98 798 7331
98 956 11658
99 814 32507
100 525 4632
100 899 6186
101 756 32556
101 817 20613
102 555 19369
102 920 23041
103 107 21005
103 685 30974
103 802 6817
104 228 10563
104 283 529
104 810 28655
105 323 20146
105 809 3594
105 830 5760
106 172 16496
106 678 6380
107 250 189
107 877 7606
108 624 28514
109 881 23530
110 209 6114
110 522 29
111 118 706
111 189 31508
111 236 1110
111 507 6876
111 605 29926
111 898 15334
112 198 29347
112 672 15757
113 172 6465
113 192 15784
114 852 1699
114 966 25498
115 182 23431
115 234 31519
115 746 23293
116 134 8297
116 425 22449
116 529 9253
116 925 11022
117 335 23005
118 211 14262
118 546 30819
118 883 9196
119 297 8323
119 775 27592
120 315 17212
121 245 26495
121 317 12616
121 437 11362
122 136 25072
122 180 17083
122 645 24706
123 183 17041
123 728 23732
123 797 28217
124 639 19092
125 776 15748
126 633 4642
126 920 4830
127 876 21326
128 330 7559
128 610 15089
129 130 29818
129 300 14383
129 485 21575
130 279 22588
130 304 26575
130 893 17751
131 444 28418
131 790 23796
133 230 12059
133 575 6332
135 491 5554
136 424 9459
137 961 26722
139 321 19901
139 680 20706
139 873 2185
140 741 21821
141 567 27765
141 909 32094
