973 1686
1 373 3614
1 387 12406
1 468 26524
1 698 3065
2 26 2186
3 20 18204
3 563 22761
3 705 22213
3 877 28479
4 393 19144
4 626 4983
5 29 26446
5 286 3957
5 841 14634
5 947 11451
6 81 4027
6 365 2709
6 492 26929
6 890 30608
7 783 12730
7 866 31361
8 100 13530
8 397 13646
8 462 5836
8 712 11566
8 780 8699
8 929 11016
9 95 1082
9 109 23214
9 696 18861
9 772 2082
9 833 9845
9 931 32427
9 953 20320
10 32 17325
10 184 7283
10 190 29135
10 304 4332
10 378 9484
10 787 13883
10 946 28838
11 692 11420
12 231 10081
12 426 28803
13 99 2874
13 192 30257
13 771 1509
13 880 21136
14 396 3468
14 532 23788
14 547 19627
15 318 28044
15 643 1338
15 746 15851
16 688 20123
17 220 30501
18 225 2153
18 265 31408
18 318 7846
18 950 26311
18 958 18079
19 583 25614
19 717 23342
20 113 20104
20 310 9397
20 342 9417
20 496 16777
20 753 20214
20 771 11704
21 31 816
21 179 9381
21 370 22213
21 737 25306
22 141 3499
23 52 22639
23 85 29032
23 348 9030
23 399 25350
23 415 8712
23 548 5838
23 688 10367
24 76 30555
24 548 12905
25 71 8916
25 93 27194
25 159 17982
25 520 18780
25 844 31913
26 402 25743
27 36 31006
27 750 11836
28 105 25323
28 143 7458
28 360 9285
28 544 29720
28 806 21330
28 886 9522
29 377 2029
29 522 13065
29 531 27569
29 653 27168
30 251 29477
30 399 26084
30 862 15783
30 902 9032
31 300 22092
31 335 1915
31 363 24396
31 597 9639
32 338 22717
32 695 16026
32 800 7509
33 101 29979
33 126 31712
33 251 29049
33 762 11759
34 114 17337
34 428 6185
34 892 8799
35 374 9541
35 404 4175
35 699 20177
35 729 1997
36 368 13690
36 777 138
37 176 18457
37 539 7327
37 738 30144
38 485 1874
38 541 15459
38 584 18946
38 661 3441
38 680 26960
39 379 10924
39 590 20160
39 906 29954
40 480 9496
40 700 11285
40 816 23336
40 907 13175
40 956 6738
41 204 12870
41 778 29090
41 839 23363
42 183 22304
43 297 28506
43 408 4082
43 965 12641
44 233 26368
44 259 30648
44 760 1669
45 304 1469
45 947 11212
46 231 25804
46 375 29132
46 547 16968
46 641 29490
46 707 25859
47 289 25996
47 367 3050
47 545 4506
47 956 25478
48 451 28413
48 507 12157
48 547 32065
49 712 10742
49 865 21282
50 363 23640
50 376 29557
50 431 31723
50 687 15722
51 378 774
51 613 17601
51 689 18704
51 692 8082
51 855 30303
52 216 25307
52 385 13349
52 478 30653
52 671 19708
52 954 9918
53 115 4619
53 474 22111
53 795 6662
53 946 19802
54 87 17317
54 129 24664
54 178 32459
54 269 25006
54 283 10995
54 743 8278
54 941 3013
55 305 31293
55 785 17302
55 806 1177
55 917 14429
56 546 11284
56 634 20250
56 641 26928
57 114 12835
58 116 4
58 901 13287
59 443 25321
59 507 31947
59 698 26246
59 834 20638
59 931 23331
60 100 10920
60 514 8649
61 70 5727
61 305 29735
62 94 6002
62 220 8421
62 282 23621
62 436 30316
62 444 2470
62 875 19826
63 565 25852
63 592 15392
63 682 15126
63 906 14634
64 274 19287
64 436 30257
64 570 31947
64 783 1827
65 547 4630
66 470 14253
66 525 13223
66 644 25006
67 908 9569
68 310 15860
68 383 9077
68 924 9228
69 641 20308
69 802 23424
69 857 24190
70 304 7480
70 545 3799
70 617 26988
70 737 13580
70 935 20485
70 939 18952
71 511 1807
71 720 2738
71 725 19462
71 907 5398
72 306 24852
72 320 21433
72 692 19137
73 380 7609
73 763 25143
73 790 20534
73 886 21096
74 174 26758
74 709 26174
75 109 4283
75 613 9871
76 208 23809
77 606 9431
78 163 22312
78 230 22734
78 278 14159
78 283 13589
78 664 30532
78 813 11305
78 904 5792
79 352 6281
79 510 31182
79 813 1000
79 852 29832
80 390 29359
80 393 6512
80 814 16232
80 963 20271
81 647 15136
81 652 682
82 93 25893
82 404 22170
82 802 18066
82 938 3644
83 558 28458
83 628 29135
83 925 19973
84 503 13283
84 824 10351
84 918 12832
85 951 26680
85 957 19636
86 394 24781
87 320 2119
87 485 26076
87 615 30291
88 912 3410
89 320 23507
89 338 25501
89 547 25798
89 858 14501
90 126 12641
90 501 2943
90 554 5866
91 320 7014
91 891 28838
92 379 8147
92 598 15869
92 751 10851
92 799 10512
93 130 6034
93 152 31814
93 663 3320
93 854 11522
94 265 3627
95 117 9286
95 417 14037
95 470 11319
95 590 11532
95 932 21593
96 487 18335
96 968 10530
97 390 31489
97 498 6144
97 749 17389
98 185 30349
98 406 4745
98 570 31875
98 619 25524
98 809 7742
99 250 2983
99 845 137
100 155 19286
101 536 9398
102 134 26806
102 247 12156
102 266 22997
102 834 15630
103 308 9673
103 506 15410
103 644 19997
103 716 21323
103 809 31711
104 315 8439
104 396 25260
104 552 7401
104 561 31578
104 717 310
104 723 19141
105 520 1488
105 654 28938
105 795 16353
105 797 28032
105 891 13927
106 331 13203
106 682 22478
106 911 4496
106 946 6720
107 457 16527
107 579 29529
107 722 8869
107 757 5748
108 315 30332
108 658 29707
109 195 25499
109 662 29097
109 708 8465
110 738 30197
110 774 10118
111 153 5312
111 390 29644
111 452 22964
111 692 8642
111 715 4640
111 950 31573
112 559 24019
112 864 23846
113 670 390
113 698 14455
114 277 20584
114 581 6423
114 756 20243
114 786 9397
115 320 28046
115 322 20170
115 670 32252
116 125 16355
116 142 5930
116 198 7569
116 260 14931
116 263 26637
116 379 7295
116 449 3608
116 543 12285
116 548 19617
116 615 4154
116 700 739
116 746 1758
116 806 16524
116 857 12015
117 963 27085
118 255 29779
118 435 21894
118 634 1261
118 844 10590
119 211 1192
119 244 26145
120 138 16877
120 833 4847
121 184 8118
121 279 31351
121 403 7880
122 278 7697
122 662 16228
122 853 21242
123 259 18747
123 905 12199
124 569 25037
124 865 18511
125 296 28994
125 490 17706
125 494 31930
125 505 3215
125 779 13983
125 795 31954
125 818 11787
125 847 11916
126 612 22817
126 642 12983
126 886 22686
127 378 27626
127 402 16957
127 559 22613
127 860 20349
128 590 16138
128 642 12733
128 936 3862
130 232 28359
130 387 3047
130 843 10301
131 679 664
132 612 2165
132 691 19559
133 755 370
134 229 8752
134 755 24436
135 452 31683
135 559 10729
135 721 2229
136 492 19570
136 857 13229
137 805 9201
137 848 4720
137 953 15988
138 235 13476
138 292 2069
138 365 2340
138 580 20001
138 590 1436
138 953 24647
139 207 11453
139 317 1710
139 384 10739
139 405 4283
140 213 23120
140 482 6872
140 589 31104
140 660 11067
140 673 20412
140 744 27292
140 788 19008
140 832 13810
140 924 20689
141 536 15335
141 938 24300
142 148 27460
142 188 19578
142 239 32652
142 290 5803
142 701 16877
143 558 7535
144 206 22668
144 313 25058
145 899 30566
145 964 30697
146 247 24043
146 365 11717
146 540 22264
146 601 32193
146 621 13236
146 922 4187
147 345 13498
147 562 3709
147 907 23076
148 445 26820
148 548 8084
148 630 17773
149 540 32417
149 552 10684
150 250 27845
150 364 7300
150 456 8731
150 645 4252
150 697 23707
150 758 6541
150 940 18499
151 890 30878
151 928 24392
154 546 31776
155 452 7269
156 194 8616
156 202 3821
156 398 1673
156 511 281
156 540 18698
156 725 846
157 603 25002
157 918 14166
158 429 4614
158 918 8810
159 310 29577
160 900 27732
160 954 26505
161 286 2148
161 480 32412
161 506 16604
161 632 28802
162 174 31570
162 264 25785
162 345 7950
164 213 26427
164 571 14011
165 319 27439
165 387 1311
165 427 29953
165 676 29945
165 722 25512
166 547 30303
166 714 18200
167 188 8041
167 481 14975
167 780 5262
167 852 6447
167 885 1322
168 538 29348
168 730 27374
168 779 5279
169 219 30223
170 208 12306
170 506 22879
171 550 32089
171 729 1134
171 942 17187
172 190 25869
172 692 8022
173 522 17585
173 557 2744
173 860 30324
174 489 627
174 690 1927
174 715 5003
175 664 31808
175 783 25866
176 784 6259
176 793 13999
177 725 9232
178 224 21449
178 530 17874
178 592 6298
178 595 19154
178 595 1821
178 705 19608
178 742 28975
178 818 29193
179 212 30605
179 223 30073
180 215 29339
180 399 14929
180 516 11671
180 615 31531
181 247 20633
181 503 31919
182 602 29700
183 499 23924
183 666 30264
184 473 23620
186 264 19591
186 306 582
186 712 21651
186 796 32006
186 799 18081
186 876 8483
187 519 17001
187 536 28141
189 409 9045
189 438 24339
189 518 13250
189 589 26888
189 831 21788
190 264 1032
190 440 1970
190 488 13274
190 588 1458
191 296 30694
191 731 29348
191 807 23406
191 930 12434
192 510 13137
193 389 11334
193 828 9581
194 754 30287
194 866 11349
195 487 10531
195 497 639
195 497 12964
195 870 30402
196 377 16022
197 737 22812
197 765 28420
199 458 454
199 501 17450
199 675 14994
199 788 18444
200 714 14062
200 853 27303
200 968 2731
201 557 6174
201 678 14476
202 342 5305
203 256 19873
203 562 25413
203 712 19489
203 947 31216
204 373 18786
204 494 16780
204 853 24869
205 647 5767
205 686 21860
205 971 23499
206 906 26510
206 945 3638
207 255 1953
207 289 15509
207 354 8912
207 553 12867
208 572 26956
208 779 1503
209 343 952
209 761 31264
209 870 20577
210 441 17495
210 619 3374
213 298 8485
213 299 23979
213 304 14087
213 535 24391
213 697 7955
214 375 27492
214 588 14887
214 865 25081
215 454 22745
215 578 20492
215 861 23989
215 887 27574
216 677 21830
217 241 4905
217 575 25944
217 804 6385
217 863 21617
217 923 26617
218 282 4705
218 707 7265
219 676 4676
220 319 17001
220 417 28207
220 799 12703
221 605 1762
221 790 4065
221 885 30769
222 827 11921
222 941 3844
223 913 7805
224 373 31857
224 598 11817
224 668 26228
224 856 32552
224 871 23450
224 898 7217
225 279 1845
225 834 9760
226 283 16211
226 608 9468
227 291 25294
227 407 15535
227 484 28210
227 782 14006
227 823 30839
228 244 14097
228 441 2142
229 394 9808
229 405 28902
229 522 22074
229 834 8928
229 835 20608
230 462 1169
230 468 7642
231 667 13012
232 388 18365
232 425 26324
232 574 30380
233 367 19061
233 412 829
233 446 22938
233 488 582
233 837 26445
234 529 18719
234 685 2425
234 766 25662
234 817 26031
234 846 22123
235 885 2484
235 894 29539
235 913 22532
236 529 27722
236 784 23156
237 631 25266
237 929 23771
237 949 13213
237 972 357
238 239 26019
238 584 24545
238 715 19624
239 323 24408
239 477 7228
239 836 19213
240 466 23676
240 579 29776
240 804 22154
240 968 7910
242 926 8078
243 468 10512
243 949 10414
243 958 26905
244 282 18246
244 675 1066
244 680 8021
244 696 31771
244 839 890
245 656 22079
245 783 4111
245 784 13701
245 967 20731
246 895 21794
247 405 3873
247 493 22054
247 562 24876
247 699 18076
247 770 13254
247 777 29022
247 813 21932
247 831 4030
247 868 17398
248 296 18078
248 333 7135
248 347 30592
248 683 31600
248 810 18600
248 955 4115
249 359 17870
249 463 2811
249 873 17570
249 895 7235
250 392 8519
251 637 1496
251 688 12566
251 778 26387
251 964 12490
251 971 6570
252 482 23754
253 271 22504
253 377 25539
253 542 7644
254 343 11352
254 445 1057
254 532 24205
255 368 20674
255 697 25558
255 778 21157
256 313 10783
256 886 14618
256 953 30699
257 371 8871
257 459 20668
258 265 18764
258 285 31996
258 380 29093
258 498 17050
259 334 19843
260 629 25339
260 797 1531
260 951 28707
261 760 15970
262 369 15466
262 548 17754
262 604 5120
262 940 9691
263 799 30126
263 868 15447
264 481 15382
265 412 19946
266 853 5533
267 338 15964
267 662 22181
267 710 18293
267 831 1187
267 872 25707
267 950 8824
268 324 23145
268 485 26843
268 555 10587
268 942 23206
269 753 15770
269 787 29673
269 905 1244
269 911 12170
270 344 29174
270 704 2123
270 721 22445
272 360 25716
273 452 29257
273 609 29139
273 780 30167
273 828 25650
273 902 13117
274 299 21842
275 453 19095
275 645 12453
276 719 5177
276 910 25186
277 893 31835
278 339 11063
278 588 29766
278 800 30386
278 889 16203
280 289 3079
281 676 23840
282 363 15755
282 544 16583
282 565 20985
282 699 9104
282 867 12759
282 944 20824
283 459 3842
283 710 27819
283 831 22576
284 372 2420
284 770 7142
286 401 12397
287 600 2372
287 689 2668
288 445 14231
289 606 12090
289 619 15720
289 924 22599
289 935 28337
290 334 5094
290 721 20253
290 926 3301
292 329 7636
292 355 29319
292 468 5292
293 487 17519
293 923 13713
293 927 17491
294 320 6782
294 525 16270
294 532 17055
295 568 12736
295 679 32212
296 356 13393
296 645 25475
296 713 4410
296 724 22521
297 604 3081
298 756 27844
298 811 18821
300 455 8968
300 674 19147
301 330 16447
301 534 14386
302 312 25859
302 439 14200
302 479 8118
302 592 25562
302 718 3767
303 387 7004
303 564 18376
304 633 31838
304 796 15842
304 896 16974
305 566 1504
305 576 11239
306 359 14476
306 792 13684
306 865 3958
307 596 10161
307 620 19651
308 348 1710
308 566 19414
308 713 31652
308 873 27011
309 503 5388
309 860 23587
310 334 18228
310 892 32076
311 458 22354
311 617 11205
311 720 30260
312 441 25341
312 483 32596
313 609 9670
313 612 24911
313 651 31317
313 706 12576
313 765 21015
314 868 1214
314 931 4672
315 551 22414
315 590 16982
316 537 3796
316 567 31184
316 690 12141
316 756 14169
316 818 15916
318 494 6153
318 526 19061
318 637 12698
318 960 25931
319 332 4285
319 454 16857
319 868 27978
320 343 1321
320 384 17941
320 406 7942
320 943 2187
321 365 24434
321 548 30599
321 556 31046
321 638 19574
321 729 5349
321 882 15340
322 707 12474
322 836 31343
323 331 18744
323 568 4429
323 729 24981
324 407 30550
324 826 11450
325 401 4217
325 442 13412
325 587 19060
325 955 16687
326 344 21132
326 877 13551
327 806 180
328 396 31567
328 577 22967
329 549 18357
329 753 11012
329 780 5818
330 384 32004
331 391 9507
331 414 3606
331 570 24812
332 654 4250
332 666 21430
332 676 29426
333 595 26830
333 935 26615
333 966 14512
334 498 30206
334 544 29612
335 645 27708
336 614 25142
336 705 12084
337 460 16198
337 886 10034
338 615 32650
338 925 17979
339 373 30360
339 401 17111
339 505 5368
339 905 1786
340 548 16270
341 345 12318
341 461 23693
341 513 13086
341 934 12224
343 405 32054
343 569 13203
343 752 23489
344 585 9290
344 701 4739
344 948 22997
345 720 7088
345 743 5765
345 748 18400
346 431 18041
346 488 17162
346 590 13807
346 625 13678
347 477 15472
347 529 19949
349 654 10815
350 366 12642
350 371 669
350 502 26132
350 857 30277
350 910 6189
351 879 30433
352 450 15300
352 456 17941
353 925 13419
354 476 22884
354 479 4265
355 507 22312
355 563 20694
356 592 4544
356 651 9179
357 491 20987
357 491 18998
357 698 25848
358 618 27759
358 665 29800
358 722 15227
359 369 25963
359 448 9726
359 567 7937
360 907 10549
361 365 10813
361 610 19747
362 555 11546
363 569 26923
363 958 16274
364 898 1454
364 958 23418
365 502 11757
366 401 30548
366 504 20752
366 559 15170
366 958 30736
367 419 26294
