964 1333
1 60 25972
1 515 9555
1 713 942
1 718 31598
1 749 614
2 422 11674
2 631 2494
3 352 23877
3 490 5357
3 853 15331
3 919 12434
4 161 2061
4 437 27362
4 698 3316
5 363 11093
5 836 21091
5 854 7203
6 192 17645
7 339 10638
7 481 29991
7 767 2355
8 259 30218
8 476 8274
8 518 13884
8 561 5697
9 396 3066
9 816 25779
10 185 1384
10 738 24725
10 806 26262
11 569 1177
11 913 25296
12 250 20398
12 355 20080
13 86 7646
13 902 27320
13 951 20182
14 449 4880
14 540 20367
14 809 30068
15 281 15991
15 524 28769
15 744 32518
15 862 9745
15 874 13727
16 933 21257
17 374 1064
17 552 8656
18 638 10221
19 35 31034
19 922 7150
20 162 22092
20 162 24169
20 222 20455
20 647 13583
20 708 8093
20 769 23240
21 881 4936
22 153 22160
22 388 10439
22 895 26347
23 371 27459
23 780 2976
24 536 25088
24 538 12686
24 606 24609
25 320 1870
25 321 9575
25 605 17764
25 631 25678
25 755 5210
25 783 26150
25 932 15648
26 208 25554
26 261 23385
26 275 30368
26 428 32214
26 629 23108
27 625 3727
27 826 30880
28 140 9711
28 440 18582
28 485 22148
29 583 797
29 813 5921
30 210 20041
31 223 17147
31 657 15173
31 752 12540
32 557 7924
32 820 21586
33 148 28697
33 192 5715
33 531 25092
34 36 11936
34 688 32069
34 688 13492
34 703 25123
35 470 19176
35 541 30260
35 760 24236
36 227 5959
36 517 15506
36 659 955
36 756 3885
36 873 32334
36 888 32329
37 134 20679
38 315 26116
38 361 23992
39 99 19400
39 619 21011
40 175 5982
41 844 8314
42 249 20378
42 470 31261
43 49 804
43 104 832
43 153 23600
43 854 4428
43 922 13762
43 924 3215
44 155 16397
45 772 10415
45 956 29817
46 168 4024
46 628 20920
46 879 29043
46 880 9405
47 528 20377
48 216 25734
48 569 19476
49 256 18774
49 661 4110
50 358 5757
50 522 12304
51 140 2551
51 920 2601
52 238 22383
52 776 32437
52 815 6955
52 830 13583
52 915 7165
53 733 13381
53 742 15419
53 883 22931
54 105 5129
54 287 7407
54 611 23233
54 809 24449
55 159 1238
55 242 7803
55 280 25454
55 372 12033
55 523 2999
55 553 23671
55 690 29037
55 848 191
56 179 9523
56 212 5902
56 566 24421
57 284 24460
57 322 5501
58 484 21493
58 528 16764
59 167 13299
59 370 20019
59 828 27438
60 249 17538
61 450 1290
61 611 30015
62 142 24307
62 900 31322
63 178 21592
63 600 29603
64 106 23672
65 714 31573
65 738 3122
66 155 4540
67 488 8417
67 629 30132
67 963 15062
68 450 28037
68 602 3273
68 812 32708
68 906 18896
69 112 16057
69 235 13798
69 585 12395
70 119 17099
71 830 19702
71 889 19618
71 900 26863
72 386 24467
72 486 18032
73 732 13919
74 514 31204
74 766 14210
74 807 31020
75 374 30511
76 169 32493
76 420 15896
76 831 5290
76 918 10501
77 236 6385
77 322 6809
77 799 7067
78 320 24056
79 202 24363
79 818 5512
80 96 6231
80 347 22704
81 318 23144
81 414 6582
81 797 30950
82 192 3746
82 721 24254
82 744 1646
83 868 6297
84 137 16106
84 399 10588
85 294 27640
85 798 29554
86 618 705
86 747 24312
87 162 21945
87 362 18870
87 769 6651
87 881 6043
88 802 8384
89 110 30672
89 411 26259
89 844 19493
90 663 6137
91 117 15387
91 845 6631
92 130 32576
92 300 29016
92 718 22097
93 199 23709
93 252 25654
94 557 1756
94 600 24537
94 838 30707
94 899 14003
95 262 30221
95 570 24032
95 697 27552
95 924 17513
96 915 8314
97 235 21106
98 236 19855
98 252 24716
99 434 10793
99 950 13407
100 840 9543
101 173 18713
101 193 28853
101 198 9242
102 153 19257
102 588 19158
103 618 29612
103 759 3128
103 856 13600
104 410 5469
105 465 19571
105 598 3221
106 136 29746
106 430 29901
107 309 28404
107 358 3637
107 947 4988
108 251 24744
108 937 196
109 143 5279
109 218 23410
109 375 18481
111 287 10278
111 303 23893
111 436 15027
111 773 32233
111 786 32146
111 893 17879
113 426 7136
114 695 29214
114 716 27870
115 239 28783
115 728 29788
115 924 27606
115 955 10955
116 303 12549
116 810 29011
117 562 1947
117 660 11993
118 870 14202
119 165 7517
119 367 12064
120 198 8141
120 217 12414
120 293 27001
120 387 4912
120 935 9630
121 209 21374
121 905 11992
122 153 9809
122 884 21152
123 228 18158
123 374 4667
123 591 32491
123 736 4091
124 350 14682
124 604 407
125 231 12014
125 372 22511
125 449 20769
125 485 29609
125 956 23407
126 550 13402
126 748 10508
127 138 30077
127 813 31413
128 367 6755
129 305 12782
129 617 12132
129 846 31619
131 342 18246
131 768 2797
132 811 3436
132 840 18827
133 325 24843
134 267 24322
134 325 9709
134 462 15875
134 548 13731
135 255 3675
135 417 23557
135 472 17535
135 538 5460
135 885 25061
136 306 26969
136 813 503
136 833 24355
137 596 8665
138 869 17597
139 210 4954
139 244 27046
139 571 1202
139 701 10006
140 180 10152
140 568 20885
140 782 14851
141 355 19702
141 432 12698
141 674 28901
142 461 26877
142 567 19764
143 412 27513
143 421 4517
143 668 14451
143 685 8392
143 834 25767
144 389 30841
144 398 25277
145 480 21617
145 782 26757
146 399 1343
147 669 28743
148 298 27575
148 333 21710
148 337 3792
148 380 24559
148 420 28403
148 766 5985
148 874 13155
148 912 13869
149 547 18624
150 593 24894
150 843 22998
151 283 12863
151 723 32755
152 892 4564
153 480 4535
154 762 15888
155 225 19556
155 935 23919
155 960 5608
156 720 2874
157 679 11027
158 379 4558
160 585 3790
160 958 19184
161 519 17280
161 523 18643
161 739 1787
161 839 20369
162 221 10128
162 750 16636
163 807 23733
164 317 2631
164 650 16224
165 544 2144
165 606 20121
166 675 18782
166 727 11990
166 877 29773
167 321 16290
167 387 9238
168 605 15091
168 881 15752
168 883 24187
169 887 21669
170 216 13349
170 533 18647
170 949 1479
171 653 26766
171 714 2835
172 246 32
173 440 9646
173 497 19714
174 445 15264
174 534 19461
174 589 18212
174 830 32664
175 201 11032
175 481 4872
176 357 20676
177 609 2910
178 384 23900
178 388 8918
179 393 31170
180 540 15444
181 851 16866
182 298 5976
183 524 19364
183 764 11515
184 544 7886
185 577 24139
185 641 24893
185 884 32678
186 222 31099
186 390 28533
187 223 31330
187 760 31485
187 780 26062
188 496 31903
188 515 24261
188 639 4038
188 901 30947
189 402 6017
189 898 22322
189 957 24586
190 535 27029
190 951 27730
191 525 22275
192 552 1640
192 750 1361
192 953 17746
194 436 24636
195 429 788
195 566 26750
195 594 6867
196 438 13332
196 624 13863
196 794 24837
196 871 14877
196 917 25551
197 372 32070
197 581 3672
198 405 12487
198 644 23507
199 250 21731
199 497 21697
199 594 30037
200 255 20810
201 407 12779
202 218 6891
203 583 25025
204 306 23374
204 866 22397
205 694 4787
205 734 6315
206 605 31604
206 786 14718
207 352 9177
207 654 15123
207 740 3561
208 218 21429
208 250 21744
208 398 32510
208 453 32327
208 653 2015
208 675 17542
208 685 7888
208 712 10797
209 344 27681
209 504 22694
209 891 14860
210 224 2220
210 308 24364
210 413 6697
210 873 26646
210 884 30850
210 940 30880
211 351 17146
211 703 16409
211 810 4948
211 936 7008
212 213 25127
212 246 3276
212 450 19176
212 456 28537
212 461 10497
212 524 2618
213 373 21143
213 559 4897
214 949 22258
215 234 5423
216 902 23224
217 425 6959
217 437 16818
217 652 18360
217 835 31150
218 358 2690
218 391 15336
218 402 26864
218 435 8814
218 848 4298
218 873 21623
218 953 14249
219 570 10507
219 892 30918
219 898 640
220 876 11766
221 265 29683
221 881 15504
222 803 16263
222 931 20903
223 366 22257
223 367 25040
223 719 3634
223 798 20876
223 841 5001
224 269 6852
224 649 2306
224 708 8163
225 868 10909
226 305 5927
226 730 19837
227 231 27018
227 249 3415
227 362 14102
227 410 25117
227 440 11901
227 513 2834
227 573 5866
227 618 4045
227 793 16699
227 957 28215
228 541 9730
228 960 29228
228 960 31788
229 599 5772
229 618 27615
229 893 10789
230 656 3694
231 421 29672
231 693 24012
231 807 19437
231 844 20016
231 868 1774
231 911 25083
232 732 8589
232 797 4726
233 769 13072
234 723 17459
234 850 9791
235 313 1371
236 259 14966
236 300 27568
236 377 32120
236 523 17011
236 767 8188
237 478 23399
238 274 822
238 305 8811
238 447 20284
238 582 24643
238 654 28635
238 722 18885
238 731 20887
240 491 2889
240 520 30399
240 901 19849
241 926 32329
242 704 8853
243 322 8284
243 609 22615
243 858 15243
243 871 27230
245 782 13945
245 856 22303
245 936 12584
246 567 11889
246 907 18137
247 811 14052
248 886 25171
249 580 22461
249 667 296
250 472 5687
250 586 22660
250 849 26141
250 869 2484
251 408 11080
251 482 15887
251 696 20058
251 878 27710
253 415 31799
253 635 22664
253 804 20886
253 871 30740
254 629 26832
254 730 1556
255 776 123
256 582 29755
257 274 8351
257 416 31184
257 625 21480
257 673 23618
258 562 15648
258 777 23639
259 645 827
259 847 30930
260 753 11060
260 772 18512
261 324 29080
261 920 18647
262 344 10401
262 408 26052
263 844 31167
263 876 8479
264 337 9914
265 339 6528
265 462 17484
266 707 7164
266 837 21569
267 543 1461
267 718 80
268 472 30158
268 886 4276
268 900 19983
269 307 12020
269 396 4023
270 870 17299
271 442 26401
271 519 20487
272 427 29519
272 476 30757
272 787 11734
272 827 1510
272 912 28478
273 913 23608
274 388 14567
274 962 30767
276 441 13350
276 567 5087
276 803 27649
277 431 8843
277 474 17099
277 494 4820
277 543 22490
277 638 20874
278 418 29860
278 433 32361
278 452 24684
278 902 31931
278 923 17761
278 932 22085
278 952 5799
279 343 20211
279 673 12695
279 790 6490
280 725 26384
281 728 26575
281 861 22021
282 544 9892
283 335 8296
283 881 25778
284 505 22743
284 642 16442
284 677 18460
284 680 15761
284 734 24521
285 868 25738
286 302 28113
286 392 7168
286 400 2551
286 538 26669
286 828 24403
287 706 22957
287 823 18478
287 944 17381
288 572 3426
288 930 15001
289 853 8835
289 925 13225
290 481 12298
290 554 21422
291 686 22111
292 338 30844
295 406 11405
296 614 15640
297 453 3712
297 863 565
298 790 30469
299 340 14363
299 376 17034
299 814 1605
300 326 437
300 445 10652
300 507 12545
300 766 29547
300 855 6905
301 378 21759
301 939 17131
302 531 25502
303 569 19648
303 574 10316
303 933 15718
304 847 5627
305 772 10098
306 694 9744
306 724 5217
306 915 3120
307 337 22515
308 905 11718
309 677 12868
310 509 2880
311 543 12545
311 888 2876
312 746 20652
314 367 3215
315 754 32409
315 915 15243
315 955 23005
316 775 9280
317 374 27968
317 945 23926
318 353 20294
318 927 10853
319 671 22465
319 876 24980
320 676 7063
323 422 5197
323 452 19971
325 500 8884
325 527 12237
325 816 23125
326 587 27186
327 870 18407
328 474 27961
329 629 21777
330 528 10462
331 729 20890
332 620 27357
332 768 2344
332 782 16594
333 443 10300
333 700 4119
333 713 13591
333 869 26068
334 654 1453
334 880 8073
334 945 14237
336 395 25530
336 705 17166
336 889 31062
338 544 14228
338 650 6275
339 399 10302
339 464 18092
339 574 13062
341 959 15816
342 674 32008
342 761 9807
342 808 22978
342 954 23861
343 875 10363
345 583 5144
345 748 4327
345 817 11077
346 834 996
347 670 32047
347 733 803
348 765 5742
348 866 24161
348 872 27869
349 406 28117
349 558 5032
349 617 12802
349 959 622
350 690 15190
350 731 21830
350 948 32152
351 567 14477
351 578 20455
351 894 24876
352 361 9314
353 773 31575
354 454 1142
354 572 18899
354 794 739
354 854 1153
354 913 26280
355 746 23815
355 798 15657
