948 1705
1 285 13629
1 683 20702
1 905 24560
2 23 18678
2 204 28799
2 225 15550
3 40 21698
3 836 6447
4 122 22583
4 236 11300
4 566 28868
4 897 28433
5 406 26864
5 450 13697
5 463 12746
5 853 339
6 13 18565
6 179 2333
6 741 121
6 854 17251
7 399 24210
7 551 3912
7 632 1505
8 133 9679
8 174 709
9 93 458
9 179 17488
9 261 6432
9 592 13012
9 870 22037
10 116 21560
10 138 16354
10 247 12238
10 332 20022
10 349 21511
10 790 12516
11 154 8633
11 162 6144
11 258 10286
11 290 5261
11 294 424
11 337 867
11 462 17279
11 518 26642
11 749 32431
11 942 28956
12 382 5617
12 556 24404
12 736 7140
13 150 4536
13 212 23272
13 501 5300
13 795 6509
14 133 21370
14 166 22893
15 213 18518
15 221 11915
15 262 19268
15 465 2315
15 755 3629
15 779 27287
16 42 9195
16 427 24440
16 471 25655
16 644 25247
17 224 29606
17 566 11336
17 911 1886
18 405 193
18 826 7485
18 934 3776
19 565 25095
19 677 24604
20 228 10839
20 293 209
20 487 11244
20 635 12912
21 49 31334
21 138 17198
21 541 9377
22 560 21058
22 756 31970
23 56 20162
23 600 18283
23 723 9282
23 935 13909
24 103 11114
24 167 29382
25 131 5972
25 160 18264
25 258 20398
25 522 11556
25 719 28904
25 875 29993
26 74 21289
26 373 1324
26 374 21615
26 627 10811
27 260 25475
27 368 21418
27 780 2978
27 806 23802
27 854 15743
28 82 1123
28 98 11266
28 771 6950
28 914 10488
29 583 7613
29 646 12063
29 760 27584
30 473 10512
30 801 2754
30 850 27631
31 365 17420
32 407 29462
32 445 32245
32 547 7287
32 599 24554
32 654 15552
32 900 14169
33 150 15965
34 144 14055
34 651 18902
34 947 31133
35 505 30953
36 83 13889
36 151 8009
36 268 4646
36 517 23608
36 541 12128
36 580 15416
36 606 12232
36 807 11137
37 300 10926
37 370 805
37 681 30806
37 817 7038
38 118 9317
38 687 16400
39 139 882
39 586 3777
39 670 6031
39 704 28328
40 57 27612
40 383 24241
40 389 21965
40 493 6365
40 553 20483
40 773 25097
41 167 20845
41 505 25115
42 500 9828
42 577 3060
42 652 16314
42 687 7620
43 114 8667
43 298 23163
43 460 14077
43 672 8834
44 299 5830
44 624 1690
45 128 27739
45 306 30655
45 556 35
46 252 30788
46 317 8357
46 511 16820
46 691 281
47 181 1908
48 467 12144
48 923 17873
49 127 14350
49 539 30819
50 73 26427
50 173 8202
50 194 27301
51 907 13152
52 222 21562
52 296 29100
52 299 23526
52 507 1574
52 773 10592
52 853 6594
52 916 23282
53 880 10118
54 61 12797
54 71 5
54 343 16490
54 594 26707
54 717 23507
54 780 20038
55 209 32552
56 169 29671
56 240 29278
56 751 5929
56 887 38
56 936 32487
57 286 15405
57 325 20618
57 443 17389
57 857 6132
58 606 17631
59 60 1070
59 90 23174
59 290 27239
59 598 8985
59 924 24458
60 250 27326
60 893 25579
61 134 5841
61 798 20500
61 892 6137
62 489 12451
62 790 11436
62 871 23924
63 176 20987
63 535 7280
63 594 27067
63 695 6448
64 111 324
64 579 10472
64 879 13999
65 777 21525
66 421 555
66 592 22847
66 883 30731
66 939 17188
67 193 5162
67 713 13378
68 519 24253
68 760 4702
69 224 13454
69 313 197
69 589 12657
69 943 32660
70 113 14844
70 202 25542
70 432 27857
71 101 9201
71 467 19407
71 873 8683
72 700 849
73 760 13442
74 344 19257
74 501 4923
75 243 17404
75 314 17591
75 525 14965
75 536 18624
75 785 30932
76 98 4106
76 521 21986
76 548 12113
76 819 29120
77 161 15038
77 585 20600
77 727 20152
78 183 12751
78 265 26999
78 891 8530
79 184 26063
79 212 13408
79 253 26021
79 812 18467
80 143 16763
80 481 5132
81 261 25280
81 357 5793
81 503 27126
81 636 26406
82 662 30724
82 664 21216
83 239 25416
83 565 22024
83 703 11909
83 805 6726
84 312 15741
84 505 25018
84 521 25392
84 610 7732
84 932 6987
85 87 31302
85 116 10725
85 820 4965
86 104 13147
86 555 18433
86 578 15141
86 730 17188
86 813 25250
87 118 11555
87 677 17454
88 244 12288
89 167 9292
89 705 30024
90 148 12662
90 588 9544
90 898 19887
91 135 4574
91 150 17353
91 256 13633
91 413 27215
91 521 7154
91 706 23765
91 738 22862
91 909 19979
92 759 4340
93 170 32494
93 171 21392
93 319 15535
93 490 21310
93 835 27031
94 382 6376
94 788 30688
95 327 5406
95 473 22327
95 741 16220
95 852 26891
95 874 32196
96 150 4821
96 205 31456
96 310 25171
96 489 18329
97 423 23115
97 808 23180
97 857 16551
98 765 28274
99 799 31218
99 912 1314
100 282 27075
100 381 11542
100 509 22105
100 662 11558
